seconds,memory_mib,utilization,power_w,temperature_c
1.646,10,0,44.01,30
6.653,10,0,43.97,30
11.666,10,0,44.01,30
16.674,10,0,44.01,30
21.682,10,0,44.01,30
26.69,10,0,44.01,30
31.697,10,0,44.01,30
36.706,10,0,44.01,30
41.716,10,0,44.01,30
46.723,10,0,44.01,30
51.73,10,0,44.01,30
56.737,10,0,44.01,30
61.744,10,0,44.01,30
66.751,10,0,44.01,30
71.76,10,0,44.01,30
76.768,10,0,44.01,30
81.777,10,0,44.01,30
86.784,10,0,44.01,30
91.794,10,0,44.01,30
96.801,10,0,44.01,30
101.809,10,0,44.01,30
106.818,10,0,44.01,30
111.826,10,0,44.01,30
116.833,10,0,44.01,30
121.84,10,0,44.01,30
126.848,10,0,44.01,30
131.855,10,0,44.01,30
136.867,10,0,44.01,30
141.878,10,0,44.01,30
146.886,10,0,44.01,30
151.894,10,0,43.97,30
156.906,10,0,43.97,30
161.917,10,0,44.01,29
166.925,10,0,44.01,29
171.935,10,0,44.01,29
176.947,10,0,43.97,29
181.956,10,0,44.01,29
