scope,version,error_cause,count
primary_20,b0,comparison_error,1
primary_20,b0,entity_error,7
primary_20,b0,factual_error,3
primary_20,b0,numeric_error,1
primary_20,b0,partial_coverage,2
primary_20,a1,comparison_error,1
primary_20,a1,entity_error,6
primary_20,a1,factual_error,3
primary_20,a1,numeric_error,1
primary_20,a1,partial_coverage,2
primary_20,a1,refusal,1
primary_20,a2,comparison_error,1
primary_20,a2,entity_error,6
primary_20,a2,factual_error,3
primary_20,a2,numeric_error,1
primary_20,a2,partial_coverage,2
primary_20,a2,refusal,1
primary_20,a3,entity_error,6
primary_20,a3,factual_error,2
primary_20,a3,numeric_error,1
primary_20,a3,partial_coverage,2
primary_20,a3,refusal,4
primary_20,full,entity_error,6
primary_20,full,factual_error,2
primary_20,full,numeric_error,1
primary_20,full,partial_coverage,2
primary_20,full,refusal,4
all_30,b0,comparison_error,1
all_30,b0,entity_error,9
all_30,b0,factual_error,3
all_30,b0,numeric_error,2
all_30,b0,partial_coverage,6
all_30,b0,question_mismatch,1
all_30,b0,refusal,1
all_30,b0,unsupported_detail,1
all_30,a1,comparison_error,1
all_30,a1,entity_error,8
all_30,a1,factual_error,3
all_30,a1,numeric_error,2
all_30,a1,partial_coverage,6
all_30,a1,question_mismatch,1
all_30,a1,refusal,2
all_30,a1,unsupported_detail,1
all_30,a2,comparison_error,1
all_30,a2,entity_error,8
all_30,a2,factual_error,3
all_30,a2,numeric_error,2
all_30,a2,partial_coverage,6
all_30,a2,question_mismatch,1
all_30,a2,refusal,2
all_30,a2,unsupported_detail,1
all_30,a3,entity_error,8
all_30,a3,factual_error,2
all_30,a3,numeric_error,2
all_30,a3,partial_coverage,6
all_30,a3,refusal,6
all_30,a3,unsupported_detail,1
all_30,full,entity_error,8
all_30,full,factual_error,2
all_30,full,numeric_error,2
all_30,full,partial_coverage,6
all_30,full,refusal,6
all_30,full,unsupported_detail,1
