scope,version,baseline_label,variant_label,count
primary_20,a1,correct,correct,6
primary_20,a1,incorrect,incorrect,10
primary_20,a1,incorrect,missing,1
primary_20,a1,partial,partial,3
primary_20,a2,correct,correct,6
primary_20,a2,incorrect,incorrect,10
primary_20,a2,incorrect,missing,1
primary_20,a2,partial,partial,3
primary_20,a3,correct,correct,5
primary_20,a3,correct,missing,1
primary_20,a3,incorrect,incorrect,8
primary_20,a3,incorrect,missing,3
primary_20,a3,partial,partial,3
primary_20,full,correct,correct,5
primary_20,full,correct,missing,1
primary_20,full,incorrect,incorrect,8
primary_20,full,incorrect,missing,3
primary_20,full,partial,partial,3
all_30,a1,correct,correct,6
all_30,a1,incorrect,incorrect,14
all_30,a1,incorrect,missing,1
all_30,a1,missing,missing,1
all_30,a1,partial,partial,8
all_30,a2,correct,correct,6
all_30,a2,incorrect,incorrect,14
all_30,a2,incorrect,missing,1
all_30,a2,missing,missing,1
all_30,a2,partial,partial,8
all_30,a3,correct,correct,5
all_30,a3,correct,missing,1
all_30,a3,incorrect,incorrect,11
all_30,a3,incorrect,missing,4
all_30,a3,missing,missing,1
all_30,a3,partial,partial,8
all_30,full,correct,correct,5
all_30,full,correct,missing,1
all_30,full,incorrect,incorrect,11
all_30,full,incorrect,missing,4
all_30,full,missing,missing,1
all_30,full,partial,partial,8
